date,name,value
2018-07-31,microsoft/typescript,34549
2018-08-31,microsoft/typescript,35657
2018-09-30,microsoft/typescript,36696
2018-10-31,microsoft/typescript,38004
2018-11-30,microsoft/typescript,38990
2018-12-31,microsoft/typescript,40156
2019-01-31,microsoft/typescript,41549
2019-02-28,microsoft/typescript,42700
2019-03-31,microsoft/typescript,44067
2019-04-30,microsoft/typescript,45300
2019-05-31,microsoft/typescript,46648
2019-06-30,microsoft/typescript,47754
2019-07-31,microsoft/typescript,48950
2019-08-31,microsoft/typescript,50008
2019-09-30,microsoft/typescript,51033
2019-10-31,microsoft/typescript,52049
2019-11-30,microsoft/typescript,52908
2019-12-31,microsoft/typescript,53698
2020-01-31,microsoft/typescript,54439
2020-02-29,microsoft/typescript,55142
2020-03-31,microsoft/typescript,55886
2020-04-30,microsoft/typescript,56750
2020-05-31,microsoft/typescript,57822
2020-06-30,microsoft/typescript,58694
2020-07-31,microsoft/typescript,59613
2020-08-31,microsoft/typescript,60800
2020-09-30,microsoft/typescript,61618
2020-10-31,microsoft/typescript,62288
2020-11-30,microsoft/typescript,63433
2020-12-31,microsoft/typescript,64284
2021-01-31,microsoft/typescript,65160
2021-02-28,microsoft/typescript,65863
2021-03-31,microsoft/typescript,66725
2021-04-30,microsoft/typescript,67521
2021-05-31,microsoft/typescript,68502
2021-06-30,microsoft/typescript,69440
2021-07-31,microsoft/typescript,70215
2021-08-31,microsoft/typescript,70961
2021-09-30,microsoft/typescript,71726
2021-10-31,microsoft/typescript,72558
2021-11-30,microsoft/typescript,73446
2021-12-31,microsoft/typescript,74231
2022-01-31,microsoft/typescript,74978
2022-02-28,microsoft/typescript,75811
2022-03-31,microsoft/typescript,76736
2022-04-30,microsoft/typescript,77667
2022-05-31,microsoft/typescript,78574
2022-06-30,microsoft/typescript,79442
2022-07-31,microsoft/typescript,80439
2022-08-31,microsoft/typescript,81462
2022-09-30,microsoft/typescript,82291
2022-10-31,microsoft/typescript,83195
2022-11-30,microsoft/typescript,84240
2022-12-31,microsoft/typescript,84988
2023-01-31,microsoft/typescript,85919
2023-02-28,microsoft/typescript,86756
2023-03-31,microsoft/typescript,87898
2023-04-30,microsoft/typescript,88786
2023-05-31,microsoft/typescript,89732
2023-06-30,microsoft/typescript,90517
2023-07-31,microsoft/typescript,91258
2023-08-31,microsoft/typescript,92086
2023-09-30,microsoft/typescript,92774
2023-10-31,microsoft/typescript,93434
2023-11-30,microsoft/typescript,94047
2023-12-31,microsoft/typescript,94610
2024-01-31,microsoft/typescript,95201
2024-02-29,microsoft/typescript,95828
2024-03-31,microsoft/typescript,96494
2024-04-30,microsoft/typescript,97122
2024-05-31,microsoft/typescript,97664
2024-06-30,microsoft/typescript,98225
2024-07-31,microsoft/typescript,98817
2024-08-31,microsoft/typescript,99384
2024-09-30,microsoft/typescript,100018
2024-10-31,microsoft/typescript,100606
2024-11-30,microsoft/typescript,101136
2024-12-31,microsoft/typescript,101602
2025-01-31,microsoft/typescript,101702
2009-03-31,redis/redis,1070
2009-04-30,redis/redis,1155
2009-05-31,redis/redis,1221
2009-06-30,redis/redis,1305
2009-07-31,redis/redis,1375
2009-08-31,redis/redis,1458
2009-09-30,redis/redis,1529
2009-10-31,redis/redis,1617
2009-11-30,redis/redis,1694
2009-12-31,redis/redis,1789
2010-01-31,redis/redis,1883
2010-02-28,redis/redis,1989
2010-03-31,redis/redis,2098
2010-04-30,redis/redis,2183
2010-05-31,redis/redis,2291
2010-06-30,redis/redis,2394
2010-07-31,redis/redis,2506
2010-08-31,redis/redis,2614
2010-09-30,redis/redis,2716
2010-10-31,redis/redis,2841
2010-11-30,redis/redis,2953
2010-12-31,redis/redis,3054
2011-01-31,redis/redis,3164
2011-02-28,redis/redis,3276
2011-03-31,redis/redis,3427
2011-04-30,redis/redis,3531
2011-05-31,redis/redis,3634
2011-06-30,redis/redis,3741
2011-07-31,redis/redis,3830
2011-08-31,redis/redis,3934
2011-09-30,redis/redis,4038
2011-10-31,redis/redis,4117
2011-11-30,redis/redis,4217
2011-12-31,redis/redis,4297
2012-01-31,redis/redis,4369
2012-02-29,redis/redis,4470
2012-03-31,redis/redis,4554
